gene	gene_name	gate_type_GM12878	gate_type_K562	functional_category	cosmic_census_flag
MGLL	MGLL	SIMPLE_AND	INCONSISTENT	unknown	no
SLC24A1	SLC24A1	SIMPLE_AND	INCONSISTENT	metabolic	no
IPCEF1	IPCEF1	SIMPLE_OR	REPRESSED	unknown	no
ANO8	ANO8	SIMPLE_AND	INCONSISTENT	unknown	no
WSCD2	WSCD2	REPRESSED	INCONSISTENT	unknown	no
GTSE1	GTSE1	SIMPLE_AND	INCONSISTENT	unknown	no
GRAMD4	GRAMD4	SIMPLE_OR	SIMPLE_AND	unknown	no
ADD2	ADD2	REPRESSED	SIMPLE_AND	unknown	no
RASAL2	RASAL2	BIVALENT	INCONSISTENT	unknown	no
ZNF37A	ZNF37A	SIMPLE_AND	COMPLEX	transcription factor	no
FOSL2	FOSL2	BIVALENT	INCONSISTENT	transcription factor	no
ACTB	ACTB	SIMPLE_OR	SIMPLE_AND	structural/other	no
PLD1	PLD1	SIMPLE_AND	INCONSISTENT	unknown	no
REXO2	REXO2	SIMPLE_OR	SIMPLE_AND	unknown	no
