gene_id	gate_type	complexity_score	gene_id_clean	gene_name
ENSG00000010219	NULL	-1.0	ENSG00000010219	DYRK4
ENSG00000010244	SIMPLE_AND	1.0	ENSG00000010244	ZNF207
ENSG00000010256	SIMPLE_AND	1.0	ENSG00000010256	UQCRC1
ENSG00000010270	SIMPLE_AND	1.0	ENSG00000010270	STARD3NL
ENSG00000010278	BIVALENT	4.0	ENSG00000010278	CD9
ENSG00000010282	NULL	-1.0	ENSG00000010282	HHATL
ENSG00000010292	SIMPLE_AND	1.0	ENSG00000010292	NCAPD2
ENSG00000010295	SIMPLE_AND	1.0	ENSG00000010295	IFFO1
ENSG00000010310	SIMPLE_AND	1.0	ENSG00000010310	GIPR
ENSG00000010318	SIMPLE_AND	1.0	ENSG00000010318	PHF7
ENSG00000010319	NULL	-1.0	ENSG00000010319	SEMA3G
ENSG00000010322	SIMPLE_AND	1.0	ENSG00000010322	NISCH
ENSG00000010327	NULL	-1.0	ENSG00000010327	STAB1
ENSG00000010361	SIMPLE_AND	1.0	ENSG00000010361	FUZ
ENSG00000010379	NULL	-1.0	ENSG00000010379	SLC6A13
